character_name,series_name,artist_tag
Son Goku,Dragon Ball,toriyama_akira
Monkey D. Luffy,One Piece,oda_eiichiro
Naruto Uzumaki,Naruto,kishimoto_masashi
Sailor Moon (Usagi Tsukino),Sailor Moon,takeuchi_naoko
Levi Ackerman,Attack on Titan,isayama_hajime
Edward Elric,Fullmetal Alchemist,arakawa_hiromu
Guts,Berserk,miura_kentarou
Spike Spiegel,Cowboy Bebop,kawamoto_toshihiro
L Lawliet,Death Note,obata_takeshi
Satoru Gojo,Jujutsu Kaisen,akutami_gege
Saitama,One Punch Man,murata_yusuke
Jotaro Kujo,JoJo's Bizarre Adventure,araki_hirohiko
Rei Ayanami,Neon Genesis Evangelion,sadamoto_yoshiyuki
Tanjiro Kamado,Demon Slayer (Kimetsu no Yaiba),gotouge_koyoharu
Lelouch Lamperouge,Code Geass,clamp
Pikachu,Pokemon,sugimori_ken
Killua Zoldyck,Hunter x Hunter,togashi_yoshihiro
Rem,Re:Zero - Starting Life in Another World,ootsuka_shinichirou
Makima,Chainsaw Man,fujimoto_tatsuki
Astro Boy,Astro Boy,tezuka_osamu
Yor Forger,Spy x Family,endou_tatsuya
Sakata Gintoki,Gintama,sorachi_hideaki
Totoro,My Neighbor Totoro,miyazaki_hayao
Motoko Kusanagi,Ghost in the Shell,shirow_masamune
Roronoa Zoro,One Piece,oda_eiichiro
Vegeta,Dragon Ball,toriyama_akira
Sakura Kinomoto,Cardcaptor Sakura,clamp
Eren Yeager,Attack on Titan,isayama_hajime
Violet Evergarden,Violet Evergarden,takase_akiko
Frieren,Frieren: Beyond Journey's End,abe_tsukasa
